#key	synopsis
005	005 es un juego de arcade de 1981 de Sega, en el que la misión del jugador es llevar un maletín de documentos secretos a un helicóptero en espera. Es uno de los primeros ejemplos de un juego de sigilo. El jugador controla a un espía que debe evitar a los enemigos mientras se abre camino a través de edificios y almacenes, donde tendrá que esquivar las linternas de los enemigos y usar cajas como escondite.
10yard	El juego se ve en una perspectiva de arriba hacia abajo y es desplazamiento vertical. El jugador no selecciona jugadas ofensivas o de defensa. En la ofensiva, el jugador simplemente recibe la pelota en el snap y trata de correr con el quarterback, tira la pelota hacia atrás o tira la pelota a un receptor de larga distancia - básicamente la ofensiva opcional. En defensa, el jugador elige a uno de los dos jugadores para controlar, y la computadora manipula a los demás. El balón también puede ser punteado o puede intentarse un gol de campo.
11beat	Este juego de fútbol tiene lugar en un mundo caricaturesco con un total de 16 equipos. Eliges tu equipo y escalas en la tabla del torneo anotando más goles que tus oponentes hasta llegar a la cima. El juego es dinámico y realmente divertido de jugar. También se puede jugar con un segundo jugador; solo asegúrate de presionar el botón Start en el controlador del jugador 2. En el modo para un jugador, cada mitad dura 1:40 y se necesita otro crédito para jugar la segunda mitad del juego. En el modo para dos jugadores, las mitades duran 2:20, e incluso hay un modo de penales si terminan empatados al final.
18wheelr	¡CONDUCCIÓN EXPLOSIVA! ROAD MONSTER! ¡Maneja un humilde 18 Wheeler! ¡Aplastar! ¡Destruir! ¡Una batalla de manejo sin barreras! Apretar a través del tráfico! ¡Lado a lado! ¡Freno de emergencia! ¡Carga que cae! ¡Corre a través del amplio continente americano, obstruyendo a tu rival todo el camino!
1941	La precuela de 1942 es un shooter de arriba hacia abajo ambientado en la Segunda Guerra Mundial. Uno o dos jugadores controlan un P-38 o un Mosquito y enfrentan oleadas de aviones enemigos y jefes al final de cada nivel. Los jugadores disparan con munición infinita y pueden recolectar power-ups que mejoran las armas o permiten lanzar ataques especiales que dañan a todos los enemigos en pantalla o a los jefes. El avión tiene una barra de vida con tres puntos iniciales, que disminuye con cada disparo recibido o al usar ataques especiales, pero se puede restaurar con power-ups o al finalizar niveles. Mantener presionado el botón de disparo carga un potente ataque especial, cuya fuerza depende del arma equipada. Otros power-ups incluyen aviones auxiliares y aviones fantasmas. El juego introduce el sistema de continues, permitiendo a los jugadores reanudar hasta tres veces, añadiendo un punto a la puntuación por cada uso.
1942	1942 es un shoot'em up y es el primer juego de la serie 1940. Se basa en la Guerra del Pacífico, que enfrentó a los Estados Unidos con Japón durante la Segunda Guerra Mundial. Pilotas un P-38 Lightning del ejército americano y tienes que derribar un máximo de aviones enemigos decididos a acabar con tu incursión. Tu objetivo final, tras atravesar varias localizaciones a lo largo de 32 intensos niveles, es llegar a Okinawa para asestar un golpe mortal a la moral del Imperio del Sol Naciente. Su P-38 tiene la capacidad, en número limitado, de dar vueltas y evitar momentáneamente a sus enemigos. Durante el juego, aparecen periódicamente escuadrones de aviones enemigos de color rojo. Si el jugador consigue destruir todo el escuadrón, aparecerá un potenciador, en forma de símbolo &quot;POW&quot;. Al recogerlo, dependiendo de su color, dará un arma mejor, una vida, ...
1943	El juego se ambienta en la Batalla de Midway dentro de la Segunda Guerra Mundial. A bordo de tu P-38, equipado con seis armas secretas, la meta es atacar a la fuerza aérea japonesa durante 16 niveles hasta derrotar al destructor japonés Yamato.
1943kai	Una versión actualizada del juego original de scroll vertical 1943, lanzado un año antes. Esta versión nunca fue lanzada en América hasta que fue incluida dentro del Capcom Classic Collection.
1943mii	1943: La Batalla de Midway Mark II es una versión no oficial del kai de 1943. El juego parece ser un juego de hack. Los sprites del avión son de 1943kai, pero el fondo es de 1943.
1944	El juego tiene lugar en las acaloradas batallas de 1944 durante la Segunda Guerra Mundial como piloto As intenta derrotar a todo un ejército. El juego funciona y se juega como la mayoría de los shooters estándar. El objetivo de cada nivel es disparar a los aviones enemigos, tanques, trenes, torrecillas, acorazados y derrotar al jefe después de cada nivel. A diferencia de su predecesor, 19XX: The War Against Destiny, la jugabilidad se acerca más a los orígenes de la serie.
