#key	synopsis
005	L'Agente 005 ti porta nuovi incassi. La sua missione è consegnare valigie segrete ad un elicottero in attesa. Attraverso astuti inseguimenti per strada e le ombre dell'oscurità del magazzino fino alle manovre scivolose della pista di pattinaggio e alla sfolgorante lotta aerea per la fuga. L'Agente 005 prepara la scena e ti consegna i clienti. La musica divertente li attrae. Quattro emozionanti scene di fuga li sfidano e il divertimento continuo li fa giocare e giocare. L'eccitazione audio e video unica corrisponde al livello di abilità di ogni giocatore.
10yard	Un gioco di Football americano. Ogni livello parte con un calcio d'inizio con il giocatore che porta la palla più su possibile sullo schermo prima di essere placcato. Quindi, come quarterback, puoi o correre o passare ad un ricevitore. Un passaggio intercettato fa guadagnare una penalita' di 20 yarde. Correre fuori dal campo blocca il cronometro. Punti extra dopo la meta possono essere guadagnati calciando o correndo nella zona di meta.
11beat	Questo gioco di calcio si svolge in un mondo cartoonesco con un totale di 16 squadre. Scegli la tua squadra e poi sali la classifica del torneo segnando più gol dei tuoi avversari fino a raggiungere la vetta. Il gioco è veloce e davvero divertente da giocare. Può essere giocato anche con un secondo giocatore, basta premere il pulsante Start sul controller del giocatore 2. Nella modalità giocatore singolo, ogni tempo dura 1:40 e per giocare il secondo tempo è necessario un altro credito. Nella modalità a due giocatori, i tempi durano 2:20 e la partita arriva addirittura ai rigori se alla fine si è in parità.
18wheelr	Un gioco di guida di camion di Sega. Gareggia con un altro camionista in tutto il paese, trasportando merci e cercando di battere il tempo. Lo scopo principale è arrivare al traguardo con il tuo carico entro un dato tempo. I giocatori scelgono uno dei numerosi camion, ciascuno valutato in velocità, manovrabilità, ecc. Quindi corrono da un punto all'altro del paese, trasportando merci (carichi più difficili aumenteranno la tua paga per quella parte del viaggio) evitando traffico innocente (rumore) il clacson per toglierti i conducenti) e cercare di superare un avversario spericolato del computer (o il giocatore due in partite collegate). Le buone prestazioni vengono premiate con livelli bonus che richiedono ai giocatori di manovrare il camion in vicoli stretti e parcheggiare il camion in un periodo di tempo limitato.
1941	Il prequel di &quot;1942&quot;, come gli altri giochi della saga &quot;194x&quot;, è uno sparatutto top-down ambientato nella seconda guerra mondiale. Uno o due giocatori controllano un P-38 (per il giocatore 1) o una zanzara (per il giocatore 2), sparando agli aerei e alle navi nemiche. Proprio come nei giochi precedenti, un pulsante spara l'arma dell'aereo (che è espandibile raccogliendo potenziamenti lasciati dai nemici) e l'altro lancia l'attacco speciale dell'aereo, distruggendo tutto sullo schermo (o causando danni addizionale ai boss, situato alla fine di ogni livello). Le munizioni regolari sono infinite, mentre le armi potenziate hanno munizioni limitate.
1942	&quot;1942&quot; è uno sparatutto a scorrimento verticale ambientato nel teatro del Pacifico durante la seconda guerra mondiale, in cui l'obiettivo è raggiungere Tokyo e distruggere l'intera flotta aerea giapponese. Il giocatore pilota un aereo soprannominato &quot;Super Ace&quot; (il suo aspetto è quello di un Lockheed P-38 Lightning) e deve abbattere ondate di aerei nemici evitando il fuoco nemico in arrivo. Il &quot;Super Ace&quot; può eseguire un numero limitato di tiri o &quot;loop-the-loop&quot; per eludere gli aerei e i colpi nemici.
1943	Il gioco è ambientato nel teatro del Pacifico della seconda guerra mondiale, al largo della costa dell'atollo di Midway. L'obiettivo è quello di attaccare la flotta aerea giapponese che ha bombardato la portaerei americana dei giocatori, inseguire tutte le forze aeree e marittime giapponesi, volare attraverso i 16 livelli di gioco, raggiungere la corazzata giapponese Yamato e distruggerla. 11 livelli consistono in una battaglia aria-mare (con un'enorme corazzata o una portaerei come boss di livello finale), mentre 5 livelli consistono in una battaglia aerea contro uno squadrone di bombardieri giapponesi e un bombardiere madre che ha bisogno essere distrutto.
1943kai	Questa è una versione migliorata del 1943: The Battle of Midway, con la maggior parte della grafica e dei suoni ridisegnati. Ci sono anche cambiamenti nelle armi e l'inclusione di oggetti anacronistici, come gli aeroplani della seconda guerra mondiale e le navi che corrono a terra. Il giocatore controlla un biplano Boeing Stearman E75 N68828 invece del P-38.
1943mii	1943: The Battle of Midway Mark II è un gioco arcade a scorrimento verticale rilasciato esclusivamente in Giappone da Capcom nel giugno 1988. È il terzo gioco della serie 19XX, un aggiornamento del 1943: The Battle Of Midway, pubblicato un anno prima. Il titolo di questo gioco è tradotto dal giapponese come &quot;1943 Modified - Midway Naval Battle&quot; Non è una sequenza a sé stante, 1943 Kai è un re-vamp dal Giappone originale nel 1943 che mantiene la stessa configurazione e gameplay, pur apportando alcune modifiche minori qua e là a causa della varietà.
1944	Il gioco si svolge nelle accese battaglie del 1944 durante la seconda guerra mondiale quando un pilota super asso tenta di sconfiggere un intero esercito. Il gioco funziona e funziona come la maggior parte degli sparatutto standard. L'obiettivo di ogni livello è sparare ad aerei, carri armati, treni, torrette, corazzate nemiche e sconfiggere il boss dopo ogni livello. A differenza del suo predecessore, 19XX: The War Against Destiny, il gioco è più simile ai primi giochi della serie.
